id,name,position,company,category,data_name
88,Prof. Yann LeCun,"Professor of CS, NYU & Exec Chairman","AMI Labs",Other,Prof. Yann LeCun
89,Shobana Kamineni,"Executive Chairperson","Apollo HealthCo",Other,Shobana Kamineni
90,Dr. Anand Deshpande,"Founder, Chairman, and Managing Director","Persistent Systems",Other,Dr. Anand Deshpande
91,Dr. Kalika Bali,"Senior Principal Researcher","Microsoft Research",Other,Dr. Kalika Bali
92,Dr. Manish Gupta,"Senior Director","Google DeepMind",Other,Dr. Manish Gupta
93,Dr. Venkat Padmanabhan,"Managing Director","Microsoft Research",Other,Dr. Venkat Padmanabhan
94,Jeet Adani,"Director","Adani Airport Holdings Ltd. and Adani Digital Labs",Other,Jeet Adani
95,Martin Tisné,"Founder and Chair","CurrentAI",Other,Martin Tisné
96,Natasha Crampton,"Vice President, Chief Responsible AI Officer","Microsoft",Other,Natasha Crampton
97,Prof. Alice Oh,"Professor, Korea Advanced Institute","Science & Technology",Other,Prof. Alice Oh
98,Prof. Anima Anandkumar,"Prof of Computing & Mathematical Sc","Caltech",Other,Prof. Anima Anandkumar
99,Prof. Balaraman Ravindaran,"Head, Department","Data Science & AI, IIT Madras",Other,Prof. Balaraman Ravindaran
100,Prof. P J Narayanan,"Professor former Director, International Institute","Information Technology Hyderabad (IIITH)",Other,Prof. P J Narayanan
101,Prof. Ramesh Raskar,"Associate Professor of Media Arts & Sc","MIT Media Labs",Other,Prof. Ramesh Raskar
102,Prof. Subbarao Kambhampati,"Professor of Computing & Augmented Intelligence","Arizona State University",Other,Prof. Subbarao Kambhampati
103,Prof. Surya Ganguli,"Associate Professor of Applied Physics & Comp Sc","Stanford University",Other,Prof. Surya Ganguli
104,Prof. Torsten Schwede,"President","Swiss National Science Foundation",Other,Prof. Torsten Schwede
105,Ravi Kumar S,"Chief Executive Officer","Cognizant",Other,Ravi Kumar S
106,Sam Altman,"CEO","OpenAI",Other,Sam Altman
107,Bipul Sinha,"CEO, Chairman and Co-Founder","Rubrik",Other,Bipul Sinha
108,Hemant Taneja,"CEO","General Catalyst",Other,Hemant Taneja
109,Kiran Mazumdar-Shaw,"Chairperson","Biocon Group",Other,Kiran Mazumdar-Shaw
110,Raj Koneru,"CEO","Kore.ai",Other,Raj Koneru
111,Takahito Tokita,"Representative Director, CEO","Fujitsu Limited",Other,Takahito Tokita
112,Arthur Mensch,"Co-Founder and CEO","Mistral AI",Other,Arthur Mensch
113,Arundhati Bhattacharya,"Chairperson & CEO","Salesforce India",Other,Arundhati Bhattacharya
114,Bejul Somaia,"Partner","Lightspeed",Other,Bejul Somaia
115,Dr. Aisha Walcott-Byrant,"Head of Research","Google Africa",Other,Dr. Aisha Walcott-Byrant
